ID,T1,T2,S1,S2,n. implicit term,Sentence,Author,ref page or link,source,long context
142,brain,skull,small animal,grotto,0,"The upper part of the skull had been removed, and the exposed edge covered in layer after layer of gauze, completely saturated with blood, forming a funnel down into the interior of the cranium. The brain was gently pulsating within. It resembled a small animal in a grotto. ","Knausgaard, Karl Ove (b. 1968)",https://metaphors.iath.virginia.edu/metaphors/24758,metaphors of mind,"The silence was total. The single focus of attention was a head clamped in a vise in the middle of the room. The upper part of the skull had been removed, and the exposed edge covered in layer after layer of gauze, completely saturated with blood, forming a funnel down into the interior of the cranium. The brain was gently pulsating within. It resembled a small animal in a grotto. Or the meat of an open mussel. Two doctors were bending over the head, each of them moving long, narrow instruments back and forth inside the opening. One nurse was assisting them, another was standing a few yards away, watching. A whispery slurping sound issued from one of the instruments, like the sound produced by the tool a dentist uses to suck away saliva from a patient’s mouth. Next to us was a monitor showing an enlarged image of the brain. In the middle, a pit had been scooped out. In the center of the pit was a white substance, shaped like a cube. The white cube, which appeared to be made of firmer stuff, was rubbery and looked like octopus flesh. I realized that it must be the tumor."
143,books,mind,honey,beehive,0,Books live in the mind like honey inside a beehive.,"McGrath, Campbell (b. 1962)",https://metaphors.iath.virginia.edu/metaphors/17881,metaphors of mind,"Books live in the mind like honey inside a beehive,
that ambrosial archive, each volume sealed in craft-made paper,
nutritive cells, stamen-fragrant, snug as apothecary jars."
144,mind,word,fish,hook,0,"""His mind snagged on the word like a fish on a hook.""","Nicholls, David (b. 1966)",https://metaphors.iath.virginia.edu/metaphors/24180,metaphors of mind,"She shrugged. 'Wise old gypsy told me.'
'I suppose you disagree on political grounds or something.'
'Just ... not for me, that's all.'
'I can see you now. Big white dress, bridesmaids, little page boys, blue garter ...' Garter. His mind snagged on the word like a fish on a hook.
'As a matter of fact, I think there are more important things in life than ""relationships"".'"
145,various archetypal situations,Hitchcock's mind,whales,tank,0,"I sometimes fancy that various archetypal situations circled tirelessly in Hitchcock's mind, like whales in a tank at the zoo.","Ebert, Roger (1942-2013)",https://metaphors.iath.virginia.edu/metaphors/19952,metaphors of mind,"I sometimes fancy that various archetypal situations circled tirelessly in Hitchcock's mind, like whales in a tank at the zoo. One of them was fascination of voyeurism--of watching people who do not know they are being watched. Another, famously, was the notion of an innocent man wrongly accused. And many of his films illustrate male impotence or indifference in the face of cool blond beauty. Much is said of Hitchcock's blonds (Kim Novak, Eva Marie Saint, Grace Kelly, Tippi Hedren), but observe that they are not erotic playmates so much as puzzles or threats. Lisa, the Kelly character, has a hopeless love for Jeff, who keeps her at arm's length with descriptions of his lifestyle; a fashion model wouldn't hold up in the desert or jungle, he tells her."
146,feelings,attention,avalanche,gloomy St Bernard,0,"It was hard enough to rescue himself from the avalanche of his own feelings, without allowing the gloomy St Bernard of his attention to wander into other fields.
",Edward St. Aubyn (b. 1960),https://metaphors.iath.virginia.edu/metaphors/24690,metaphors of mind,"The question filled Patrick with the horror which assailed him when he was asked to consider another person's feelings. How was Debbie? How the fuck should he know? It was hard enough to rescue himself from the avalanche of his own feelings, without allowing the gloomy St Bernard of his attention to wander into other fields. On the other hand the amphetamines had given him an urgent desire to talk and he couldn't ignore the question entirely."
147,heroin,nervous system,black cat,its favourite cushion,0,"Heroin landed purring at the base of his skull, and wrapped itself darkly around his nervous system, like a black cat curling up on its favourite cushion.",Edward St. Aubyn (b. 1960),https://metaphors.iath.virginia.edu/metaphors/24697,metaphors of mind,"No, he mustn't think about it, or indeed about anything, and especially not about heroin, because heroin was the only thing that really worked, the only thing that stopped him scampering around in a hamster's wheel of unanswerable questions. Heroin was the cavalry. Heroin was the missing chair leg, made with such precision that it matched every splinter of the break. Heroin landed purring at the base of his skull, and wrapped itself darkly around his nervous system, like a black cat curling up on its favourite cushion. It was as soft and rich as the throat of a wood pigeon, or the splash of sealing wax onto a page, or a handful of gems slipping from palm to palm."
148,soul,thought,bird,feathers,0,"Just as birds are lifted up into the air by their feathers and can remain wherever they wish, the soul in the body is elevated by thought and spreads its wings everywhere.","Offill, Jenny (b. 1968)",https://metaphors.iath.virginia.edu/metaphors/24729,metaphors of mind,"The only bad thing about New Orleans was the heat. At night, we filled bath towels with ice cubes and held them to our wrists. When it was too hot to sleep, my mother read to me for hours from the natural history of St. Hildegard. About birds, St. Hildegard wrote:
Birds are colder than animals that live on the earth, because they are not conceived in such intense and heated desire. Just as birds are lifted up into the air by their feathers and can remain wherever they wish, the soul in the body is elevated by thought and spreads its wings everywhere."
149,mind,thought,bird,noose,0,"I tried to think what I had loved knives for, but my mind slipped from the noose of the thought and swung, like a bird, in the center of empty air.","Plath, Sylvia (1932-1963)",https://metaphors.iath.virginia.edu/metaphors/17425,metaphors of mind,"I took up the silver knife and cracked off the cap of my egg. Then I put down the knife and looked at it. I tried to think what I had loved knives for, but my mind slipped from the noose of the thought and swung, like a bird, in the center of empty air."
150,<man>,rage,blowlamp,flame,1,"And yet the rage that one felt was an abstract, undirected emotion which could be switched from one object to another like the flame of a blowlamp."," Orwell, George ",https://metaphors.iath.virginia.edu/metaphors/25016,metaphors of mind,"In its second minute the Hate rose to a frenzy. People were leaping up and down in their places and shouting at the tops of their voices in an effort to drown the maddening bleating voice that came from the screen. The little sandy-haired woman had turned bright pink, and her mouth was opening and shutting like that of a landed fish. Even O'Brien's heavy face was flushed. He was sitting very straight in his chair, his powerful chest swelling and quivering as though he were standing up to the assault of a wave. The dark-haired girl behind Winston had begun crying out 'Swine! Swine! Swine!' and suddenly she picked up a heavy Newspeak dictionary and flung it at the screen. It struck Goldstein's nose and bounced off; the voice continued inexorably. In a lucid moment Winston found that he was shouting with the others and kicking his heel violently against the rung of his chair. The horrible thing about the Two Minutes Hate was not that one was obliged to act a part, but, on the contrary, that it was impossible to avoid joining in. Within thirty seconds any pretence was always unnecessary. A hideous ecstasy of fear and vindictiveness, a desire to kill, to torture, to smash faces in with a sledge-hammer, seemed to flow through the whole group of people like an electric current, turning one even against one's will into a grimacing, screaming lunatic. And yet the rage that one felt was an abstract, undirected emotion which could be switched from one object to another like the flame of a blowlamp. Thus, at one moment Winston's hatred was not turned against Goldstein at all, but, on the contrary, against Big Brother, the Party, and the Thought Police; and at such moments his heart went out to the lonely, derided heretic on the screen, sole guardian of truth and sanity in a world of lies. And yet the very next instant he was at one with the people about him, and all that was said of Goldstein seemed to him to be true. At those moments his secret loathing of Big Brother changed into adoration, and Big Brother seemed to tower up, an invincible, fearless protector, standing like a rock against the hordes of Asia, and Goldstein, in spite of his isolation, his helplessness, and the doubt that hung about his very existence, seemed like some sinister enchanter, capable by the mere power of his voice of wrecking the structure of civilization."
151,person,<idea/memory>,squirrel,nut,1,I stored the fact that there were real glasses in the corner of my mind the way a squirrel stores a nut.,"Plath, Sylvia",https://metaphors.iath.virginia.edu/metaphors/17423,metaphors of mind,A maid in a green uniform was setting the tables for supper. There were white linen tablecloths and glasses and paper napkins. I stored the fact that there were real glasses in the corner of my mind the way a squirrel stores a nut. At the city hospital we had drunk out of paper cups and had no knives to cut our meat. The meat had always been so overcooked we could cut it with a fork.
152,recollections,memory,perfume,<room>,1,Delicious recollections float like perfume through the memory.,"Rich, Adrienne",https://metaphors.iath.virginia.edu/metaphors/24967,metaphors of mind,"You, once a belle in Shreveport,
with henna-colored hair, skin like a peachbud,
still have your dresses copied from that time.
and play a Chopin prelude
called by Cortot: ""Delicious recollections
float like perfume through the memory.""

Your mind now, mouldering like wedding-cake
heavy with useless experience, rich
with suspicion, rumor, fantasy,
crumbling to pieces under the knife-edge
of mere fact. In the prime of your life."
153,words,mind,pebbles,<water>,1,"Words came without volition, sinking very slowly through his mind like pebbles.","Murdoch, Iris",https://metaphors.iath.virginia.edu/metaphors/24510,metaphors of mind,"The room was small and narrow and the bed, which stretched along the wall, took up most of it. There were no sheets, but a mound of thin blankets underneath which Tallis slept in winter and on top of which he slept in summer. Books were piled against the other wall. Tallis pulled his legs up and leaned back. He could not think without a table. Better to give up and sleep now. Get up early and finish lecture. Better without a table. Better give up and sleep now. Get up early and finish lecture. Better not thoughts now. Sleep. Unbeing. No point in kneeling down, folding hands, muttering. Self-abasement, prostration, licking the groung and wriggling through. Tears and sex. God, what a muck-heap my mind is, thought Tallis. He closed his eyes and tried to breathe slowly and regularly. Words came without volition, sinking very slowly through his mind like pebbles. Words out of some lost and ancient past. Lighten my darkness. Tiddy pom tiddy pom tiddy pom from up above. The perils and dangers of this night. With his eyes still closed he uncurled his legs and turned over to lie prone upon the bed burying his face in the pillow. That peace which the world cannot give. There was light somewhere, cool precious light, somewhere quite else. The pillow smelt of dust and age and grief. It was an old pillow. It had attended upon life and death and birth and was tired of them all. It had no pillow slip on and it tickled Tallis's nose. Get undressed and turn out the light. Idiotic go sleep like this."
154,brain,<memory/idea>,warehouse,things,1,"My brain hurt like a warehouse, it had no room to spare; / I had to cram so many things to store everything in there.","Bowie, David",https://metaphors.iath.virginia.edu/metaphors/25104,metaphors of mind,"I heard telephones, opera house, favourite melodies.
I saw boys, toys electric irons and T.V.'s.
My brain hurt like a warehouse, it had no room to spare;
I had to cram so many things to store everything in there.
And all the fat-skinny people, and all the tall-short people,
And all the nobody people, and all the somebody people,
I never thought I'd need so many people."
155,mind,mystery,<body>,food,1,"Mysteries are the food of the mind, and all the fundamental mysteries are necessary to sanity.","Richards, I.A.",https://metaphors.iath.virginia.edu/metaphors/25102,metaphors of mind,"I'm an inventor,"" he said in Cambridge, Mass., referring to his tricks for teaching. ""And I'm a philosopher. At Cambridge University studied what we called mental and moral sciences. That made one familiar with the incomprehensible. Mysteries are the food of the mind, and all the fundamental mysteries are necessary to sanity. In asylums you meet people who have the answers; sane people never have the answers."
156,mind,knowledge,<container>,liquid,1,"In the preceding months he had prepared himself with meticulous care, filling his mind with distilled knowledge, drop by drop, until, on the eve of the first paper (Old English Set Texts) it was almost brimming over.","Lodge, David",https://metaphors.iath.virginia.edu/metaphors/19827,metaphors of mind,"Philip Swallow had been made and unmade by the system in precisely this way. He liked examinations, always did well in them. Finals had been, in many ways, the supreme moment of his life. He frequently dreamed that he was taking the examinations again, and these were happy dreams. Awake, he could without difficulty remember the questions he had elected to answer on every paper that hot, distant June. In the preceding months he had prepared himself with meticulous care, filling his mind with distilled knowledge, drop by drop, until, on the eve of the first paper (Old English Set Texts) it was almost brimming over. Each morning for the next ten days he bore his precious vessel to the examination halls and poured a measured quantity of the contents on to the pages of ruled quarto. Day by day the level fell, until on the tenth day the vessel was empty, the cup was drained, the cupboard was bare. In the years that followed he set about replenishing his mind, but it was never quite the same. The sense of purpose was lacking--there was no great Reckoning against which he could hoard his knowledge, so that it tended to leak away as fast as he acquired it."
157,mind,Marsall McLuhan's ideas,<body>,Turkish baths,1,Marsall McLuhan's ideas are Turkish baths of the mind.,"Bell, Daniel",https://metaphors.iath.virginia.edu/metaphors/24852,metaphors of mind,"And finally a hedonistic age had its own appropriate prophet--Marshall McLuhan. A hedonistic age, defined by the fact that knowledge becomes coded in messages organized as formulas, slogans, and binary distinctions. By grasping the code, a person feels comfortable in understanding the complex worlds about him. McLuhan is a writer who not only has defined the hedonistic age in terms of such coding devices, but also has topped the trick by exemplifying in his own style the device of coding that age's own thoughts in a set of formulas appropriate to the time. The idea that the medium is the message (so that ideas are secondary or do not count); that some media are ""hot,"" like radio (it excludes people), while others are ""cool,"" like television (it requires involvement to complete the participation); that print culture is linear, while visual culture is simultaneous--all these distinctions are are not meant to be used analytically, or tested by some empirical means; they are litanies to assuage a person’s anxieties and enhance his sense of well-being within the new modes of communication. They are Turkish baths of the mind. All in all, Marshall McLuhan was an advertising man’s dream, in more ways than one."
158,mind,representations,miror,<reflections>,1,"The picture which holds traditional philosophy captive is that of the mind as a great mirror, containing various representations--some accurate, some not--and capable of being studied by pure, non-empirical methods."," Rorty, Richard",https://metaphors.iath.virginia.edu/metaphors/16894,metaphors of mind,"It is pictures rather than propositions, metaphors rather than statements, which determine most of our philosophical convictions. The picture which holds traditional philosophy captive is that of the mind as a great mirror, containing various representations--some accurate, some not--and capable of being studied by pure, non-empirical methods. Without the notion of the mind as mirror, the notion of knowledge as accuracy of representation would not have suggested itself. Without this latter notion, the strategy common to Descartes and Kant--getting more accurate representations by inspecting, repairing, and polishing the mirror, so to speak--would not have made sense. Without this strategy in mind, recent claims that philosophy could consist of 'conceptual analysis' or 'phenomenological analysis' or 'explication of meanings' or examination of the 'logic of our language' or of 'the structure of the constituting activity of consciousness' would not have made sense."
159,language,human thoughts,express image and picture,<physical object or being>,1,"Language is the express image and picture of human thoughts; and, from the picture, we may often draw very certain conclusions with regard to the original.","— Reid, Thomas (1710-1796)
",https://metaphors.iath.virginia.edu/metaphors/19614,metaphors of mind,"There are other opinions that appear to be universal, from what is common in the structure of all languages, ancient and modern, polished and barbarous. Language is the express image and picture of human thoughts; and, from the picture, we may often draw very certain conclusions with regard to the original. We find in all languages the same parts of speech, nouns substantive and adjective, verbs active and passive, varied according to the tenses of past, present, and future; we find adverbs, prepositions, and conjunctions. There are general rules of syntax common to all languages. This uniformity in the structure of language, shows a certain degree of uniformity in those notions upon which the structure of language is grounded."
160,thoughts,head,clouds,<sky>,1,Thoughts in my head just come and go and change shape like the clouds.,"— Levy, Andrea (b. 1956)",https://metaphors.iath.virginia.edu/metaphors/17995,metaphors of mind,"When I was young my mum used to complain that I spent too much time daydreaming. That was because I liked to stare at the sky. She thought that while I was dreaming I could be doing something useful as well, like knitting. Now that I am a writer, I have the privilege of daydreaming as part of my job. And I still love to gaze at the sky. The view from my workroom in my North London house has a lot of sky, and I couldn’t work without it. There are never any structured thoughts in my head when I look up. They just come and go and change shape like the clouds."
161,sounds,mind,wind,<empty location>,1,"Those final sounds, however, are nothing like the wind moving through the vacancy of a mind.","— Rankine, Claudia (b. 1963)",https://metaphors.iath.virginia.edu/metaphors/18331,metaphors of mind,"He waits for his father's death. His father has been taken off the ventilator and clearly will not be able to breathe for himself much longer. Earlier in the day the nurse mentioned something about an electroencephalogram (EEG), which measures brain waves in the cerebral hemispheres, the parts of the brain that deal with speech and memory. But his brain stem is damaged; it seems now the test will not be necessary. The son expects an almost silent, hollow gasp to come from the old man's open mouth. Those final sounds, however, are nothing like the wind moving through the vacancy of a mind. The release is jerky and convulsive. There is never the rasp of the choke the son expects, though one meaning of worry is to be choked on, to choke on."
162,drug,<effect><sensations>,express train,white-hot column of light,1,"The drug hit him like an express train, a white-hot column of light mounting his spine from the region of his prostate,","— Gibson, William (b. 1948)",https://metaphors.iath.virginia.edu/metaphors/24616,metaphors of mind,"The drug hit him like an express train, a white-hot column of light mounting his spine from the region of his prostate, illuminating the sutures of his skull with x-rays of short-circuited sexual energy. His teeth sang in their individual sockets like tuning forks, each one pitch-perfect and clear as ethanol. His bones, beneath the hazy envelope of flesh, were chromed and polished, the joints lubricated with a film of silicone. Sandstorms raged across the scoured floor of his skull, generating waves of high thin static that broke behind his eyes, spheres of purest crystal, expanding..."
163,centuries,mind,sea breeze,<location>,1,"The only palliative is to keep the clean sea breeze of the centuries blowing through our minds, and this can be done only be reading old books.","— Lewis, C. S. (1898-1963)",https://metaphors.iath.virginia.edu/metaphors/20215,metaphors of mind,"Every age has its own outlook. It is especially good at seeing certain truths and specially liable to make certain mistakes. We all, therefore, need the books that will correct the characteristic mistakes of our own period. And that means the old books. All contemporary writers share to some extent the contemporary outlook--even those, like myself, who seem opposed to it. Nothing strikes me more when I read the controversies of past ages than the fact that both sides were usually assuming without question a good deal which we should now absolutely deny. They thought that they were as completely opposed as two sides could be, but in fact they were all the time secretly united--united with each other and against earlier and later ages--by a great mass of common assumptions. We may be sure that the characteristic blindness of the twentieth century--the blindness about which posterity will ask, ""But how could they have thought that?""--lies where we have never suspected it, and concerns something about which there is untroubled agreement between Hitler and President Roosevelt or between Mr. H. G. Wells and Karl Barth. None of us can fully escape this blindness, but we shall certainly increase it, and weaken our guard against it, if we read only modern books. Where they are true they will give us truths which we half knew already. Where they are false they will aggravate the error with which we are already dangerously ill. The only palliative is to keep the clean sea breeze of the centuries blowing through our minds, and this can be done only be reading old books. Not, of course, that there is any magic about the past. People were no cleverer then than they are now; they made as many mistakes as we. But not the same mistakes. They will not flatter us in the errors we are already committing; and their own errors, being now open and palpable, will not endanger us. Two heads are better than one, not because either is infallible, but because they are unlikely to go wrong in the same direction. To be sure, the books of the future would be just as good a corrective as the books of the past, but unfortunately we cannot get at them."
164,feeling of relation moving to its term,"some substantive thing, usually the last word we were pronouncing",snowflake-crystal,drop,1,"As a snowflake-crystal caught in the warm hand is no longer a crystal but a drop, so, instead of catching the feeling of relation moving to its term, we find we have caught some substantive thing, usually the last word we were pronouncing, statically taken, and with its function, tendency and particular meaning in the sentence quite evaporated.","— James, William (1842-1910)",https://metaphors.iath.virginia.edu/metaphors/17710,metaphors of mind,"Now the first difficulty of introspection is that of seeing the transitive parts for what they really are. If they are but flights to a conclusion, stopping them to look at them before the conclusion is reached is really annihilating them. Whilst if we wait till the conclusion be reached, it so exceeds them in vigour and stability that it quite eclipses and swallows them up in its glare. Let anyone try to cut a thought across in the middle and get a look at its section, and he will see how difficult the introspective observation of the transitive tracts is. The rush of the thought is so headlong that it almost always brings us up at the conclusion before we can arrest it. Or if our purpose is nimble enough and we do arrest it, it ceases forthwith to be itself. As a snowflake-crystal caught in the warm hand is no longer a crystal but a drop, so, instead of catching the feeling of relation moving to its term, we find we have caught some substantive thing, usually the last word we were pronouncing, statically taken, and with its function, tendency and particular meaning in the sentence quite evaporated. The attempt at introspective analysis in these cases is in fact like seizing a spinning top to catch its motion, or trying to turn up the gas quickly enough to see how the darkness looks. And the challenge to produce these psychoses, which is sure to be thrown by doubting psychologists at anyone who contends for their existence, is as unfair as Zeno's treatment of the advocates of motion, when, asking them to point out in what place an arrow is when it moves, he argues the falsity of their thesis from their inability to make to so preposterous a question an immediate reply."
165,memory of dreadful things,mine,wind,<location>,1,"Silently we went round and round, 
And through each hollow mind
The Memory of dreadful things
Rushed like a dreadful wind,
And Horror stalked before each man,
And Terror crept behind.","Wilde, Oscar Fingal O'Flahertie Wills (1854-1900)",https://metaphors.iath.virginia.edu/metaphors/17586,metaphors of mind,"Silently we went round and round,
And through each hollow mind
The Memory of dreadful things
Rushed like a dreadful wind,
And Horror stalked before each man,
And Terror crept behind."
166,"Religion, ethics, metaphysics",anxiety,<channel>,black waters,1,"Religion, ethics, metaphysics – these are merely the 'spiritual' and 'inner' festivals of human anguish, ways of channelling the black waters of anxiety – and towards what abyss?

","— Lefebvre, Henri (1901-1991)",https://metaphors.iath.virginia.edu/metaphors/25311,metaphors of mind,"And in life itself, in everyday life, ancient gestures, rituals as old as time itself, continue unchanged – except for the fact that this life has been stripped of its beauty. Only the dust of words remains, dead gestures. Because rituals and feelings, prayers and magic spells, blessings, curses, have been detached from life, they have become abstract and 'inner', to use the terminology of self-justification. Convictions have become weaker, sacrifices shallower, less intense. People cope – badly – with a smaller outlay. Pleasures have become weaker and weaker. The only thing that has not diminished is the old disquiet, that feeling of weakness, that foreboding. But what was formerly a sense of disquiet has become worry, anguish. Religion, ethics, metaphysics – these are merely the 'spiritual' and 'inner' festivals of human anguish, ways of channelling the black waters of anxiety – and towards what abyss?"
167,the Great Depression,soul,fog,<location>,1,The Great Depression had entered our souls like fog.,"— Justice, Donald (1925-2004)",https://metaphors.iath.virginia.edu/metaphors/18026,metaphors of mind,"We gathered on porches; the moon rose; we were poor.
And time went by, drawn by slow horses.
Somewhere beyond our windows shone the world.
The Great Depression had entered our souls like fog.

And time went by, drawn by slow horses.
We did not ourselves know what the end was.
The Great Depression had entered our souls like fog.
We had our flaws, perhaps a few private virtues."
168,warnings,mind,rats,<location>,1,"Deep in the night, those warnings scuttle around my mind like rats.","— Kennedy, Pagan (b. 1963)",https://metaphors.iath.virginia.edu/metaphors/24968,metaphors of mind,"Though one in 10 American adults suffer from chronic insomnia, we have yet to answer the most fundamental questions about the affliction. Scientists are still arguing about the mechanisms of sleep and the reasons it fails in seemingly healthy people. There are few -- if any -- reliable treatments for insomnia. At the same time, medical journals warn that bad sleep can fester into diseases like cancer and diabetes. Deep in the night, those warnings scuttle around my mind like rats."
169,mind,<dangerous things>,rabbit,foxes,1,"The body [...] activates the senses, setting them to the frequencies at which the signals of new dangers can be received. Those signals appear as noise to the previous -- pre-war -- mind, as a breakdown in communication. The new mind, which the body floods with adrenaline, begins -- like a rabbit in a forest of foxes -- to decode all the signals, even if it's not capable of fitting them into any narrative.","Hemon, Aleksandr (b. 1964)",https://metaphors.iath.virginia.edu/metaphors/25010,metaphors of mind,"But the body knows the score, recognizes the crisis before the mind. It not only gets the steel ball rolling onto the intestines, but also activates the senses, setting them to the frequencies at which the signals of new dangers can be received. Those signals appear as noise to the previous -- pre-war -- mind, as a breakdown in communication. The new mind, which the body floods with adrenaline, begins -- like a rabbit in a forest of foxes -- to decode all the signals, even if it's not capable of fitting them into any narrative. The unified, ontologically comfortable mind splits: On the one hand, the pre-war mind refuses the possibility of catastrophe; on the other, the war mind perceives everything as the signal that the end of the world is nigh. I trust my fears while struggling to ignore them. We become of two minds, which cannot agree on what is real. The world looks strange and unreliable, fragile and dangerous. It is itself and not itself. I am myself and someone else."
170,thoughts,<mind>,six fireflies beeping randomly,jar,1,We've got this perverse situation in which the vast analytic powers of the entire world are being spent trying to understand a guy whose thoughts are often just six fireflies beeping randomly in a jar.,"Brooks, David (b. 1961)",https://metaphors.iath.virginia.edu/metaphors/25072,metaphors of mind,"But Trump's statements don't necessarily come from anywhere, lead anywhere or have a permanent reality beyond his wish to be liked at any given instant.

We've got this perverse situation in which the vast analytic powers of the entire world are being spent trying to understand a guy whose thoughts are often just six fireflies beeping randomly in a jar.

""We badly want to understand Trump, to grasp him,"" David Roberts writes in Vox. ""It might give us some sense of control, or at least an ability to predict what he will do next. But what if there's nothing to understand? What if there is no there there?""

And out of that void comes a carelessness that quite possibly betrayed an intelligence source, and endangered a country."
171,envy,psyche,lizard,<location>,1,"But if I can identify the lizard of envy crawling around in my psyche, I can usually tamp down the ire.","Marino, Gordon",https://metaphors.iath.virginia.edu/metaphors/25196,metaphors of mind,"For instance, I often find a reason to become angry with people I am envious of. But if I can identify the lizard of envy crawling around in my psyche, I can usually tamp down the ire. That same awareness can also help mitigate moral judgments. Recognizing the envy when my sixtysomething friend boasted that he had recently completed a marathon, I was able to restrain myself from giving rope to the indignant thought, ""Instead of running miles every day, why don't you spend some time tutoring disadvantaged kids!"""
172,memory,<recollections>,jar,flies,1,"Memory, a jar of flies. Spin off the lid.","Seibles, Tim (b. 1955)",https://metaphors.iath.virginia.edu/metaphors/25149,metaphors of mind,"What skinny faith you have — 
and such big teeth: all

the better. I mean to step out
of  history     for just a minute,

to feel my blood float

above the say-so. Memory,
a jar of flies. Spin off the lid.

I forget what you know. What

did you ever know?"
173,skulls,ideas,odd museum,<items>,1,"Open our skulls, look in with a penlight, and you'll find an odd museum of ideas: sentences of history or mathematics remembered from school textbooks (no boy remembers his schooling like one who was taken out of school, let me assure you), sentences about politics read in a newspaper while wait...","Adiga, Aravind (b. 1974)",https://metaphors.iath.virginia.edu/metaphors/17196,metaphors of mind,"Me, and thousands of others in this country like me, are half-baked, because we were never allowed to complete our schooling. Open our skulls, look in with a penlight, and you'll find an odd museum of ideas: sentences of history or mathematics remembered from school textbooks (no boy remembers his schooling like one who was taken out of school, let me assure you), sentences about politics read in a newspaper while waiting for someone to come to an office, triangles and pyramids seen on the torn pages of the old geometry textbooks which every tea shop in this country uses to wrap its snacks in, bits of All India Radio news bulletins, things that drop into your mind, like lizards from the ceiling, in the half hour before falling asleep--all these ideas, half-formed and half-digested and half correct, mix up with other half-cooked ideas in your head, and I guess these half-formed ideas bugger one another and make more half-formed ideas, and this is what you act on and live with."
174,heart,<emotions>,oyster,a spoil of pearls,1,"Like an oyster
That cloisters a spoil of pearls, 
Untouched— 
The heart that’s had 
Enough
Stays shut.","Essbaum, Jill Alexander",https://metaphors.iath.virginia.edu/metaphors/17554,metaphors of mind,"Like an oyster
That cloisters a spoil of pearls,
Untouched—


The heart that’s had
Enough
Stays shut."
175,soul,<body>,worm,apple,1,"A soul was like a worm in an apple, my mother told me.","Offill, Jenny (b. 1968)",https://metaphors.iath.virginia.edu/metaphors/24728,metaphors of mind,"A soul was like a worm in an apple, my mother told me. Sometimes you went your whole life without knowing you had one and then suddenly it appeared. In Africa, the soul has the same shape as the body but cannot be seen. At night, it travels through the world while a person dreams. But it returns to the body the moment a sleeping person is touched."
176,<forgetting>,knowledge,leaking,<container>,2,"In the years that followed he set about replenishing his mind, but it was never quite the same. The sense of purpose was lacking--there was no great Reckoning against which he could hoard his knowledge, so that it tended to leak away as fast as he acquired it.","Lodge, David",https://metaphors.iath.virginia.edu/metaphors/19829,metaphors of mind,"Philip Swallow had been made and unmade by the system in precisely this way. He liked examinations, always did well in them. Finals had been, in many ways, the supreme moment of his life. He frequently dreamed that he was taking the examinations again, and these were happy dreams. Awake, he could without difficulty remember the questions he had elected to answer on every paper that hot, distant June. In the preceding months he had prepared himself with meticulous care, filling his mind with distilled knowledge, drop by drop, until, on the eve of the first paper (Old English Set Texts) it was almost brimming over. Each morning for the next ten days he bore his precious vessel to the examination halls and poured a measured quantity of the contents on to the pages of ruled quarto. Day by day the level fell, until on the tenth day the vessel was empty, the cup was drained, the cupboard was bare. In the years that followed he set about replenishing his mind, but it was never quite the same. The sense of purpose was lacking--there was no great Reckoning against which he could hoard his knowledge, so that it tended to leak away as fast as he acquired it."
177,mind,new theme,<woman>,<baby>,2,"The mind may be pregnant ""with some new theme""","— Cowper, William (1731-1800)",https://metaphors.iath.virginia.edu/metaphors/15017,metaphors of mind,"Just when our drawing-rooms begin to blaze
With lights by clear reflection multiplied
From many a mirror, in which he of Gath,
Goliath, might have seen his giant bulk
Whole without stooping, towering crest and all,
My pleasures too begin. But me perhaps
The glowing hearth may satisfy awhile
With faint illumination that uplifts
The shadow to the ceiling, there by fits
Dancing uncouthly to the quivering flame.
Not undelightful is an hour to me
So spent in parlour twilight; such a gloom
Suits well the thoughtful or unthinking mind,
The mind contemplative, with some new theme
Pregnant, or indisposed alike to all.
Laugh ye, who boast your more mercurial powers,
That never feel a stupor, know no pause
Nor need one. I am conscious, and confess
Fearless, a soul that does not always think.
Me oft has fancy ludicrous and wild
Sooth'd with a waking dream of houses, towers,
Trees, churches, and strange visages express'd
In the red cinders, while with poring eye
I gazed, myself creating what I saw.
Nor less amused have I quiescent watch'd
The sooty films that play upon the bars
Pendulous, and foreboding in the view
Of superstition prophesying still
Though still deceived, some stranger's near approach.
'Tis thus the understanding takes repose
In indolent vacuity of thought,
And sleeps and is refresh'd. Meanwhile the face
Conceals the mood lethargic with a mask
Of deep deliberation, as the man
Were task'd to his full strength, absorb'd and lost.
Thus oft reclined at ease, I lose an hour
At evening, till at length the freezing blast
That sweeps the bolted shutter, summons home
The recollected powers, and snapping short
The glassy threads with which the fancy weaves
Her brittle toys, restores me to myself.
How calm is my recess! and how the frost
Raging abroad, and the rough wind, endear
The silence and the warmth enjoy'd within!
I saw the woods and fields at close of day
A variegated show; the meadows green
Though faded, and the lands where lately waved
The golden harvest, of a mellow brown,
Upturn'd so lately by the forceful share.
I saw far off the weedy fallows smile
With verdure not unprofitable, grazed
By flocks fast feeding, and selecting each
His favourite herb; while all the leafless groves
That skirt the horizon wore a sable hue,
Scarce noticed in the kindred dusk of eve.
To-morrow brings a change, a total change!
Which even now, though silently perform'd
And slowly, and by most unfelt, the face
Of universal nature undergoes.
Fast falls a fleecy shower. The downy flakes
Descending and with never-ceasing lapse
Softly alighting upon all below,
Assimilate all objects. Earth receives
Gladly the thickening mantle, and the green
And tender blade that fear'd the chilling blast,
Escapes unhurt beneath so warm a veil."
