ID,T1,T2,S1,S2,n. implicit term,Sentence,Author,ref page or link,source
166,"Religion, ethics, metaphysics",anxiety,<channel>,black waters,1,"Religion, ethics, metaphysics – these are merely the 'spiritual' and 'inner' festivals of human anguish, ways of channelling the black waters of anxiety – and towards what abyss?

","— Lefebvre, Henri (1901-1991)",https://metaphors.iath.virginia.edu/metaphors/25311,metaphors of mind
167,the Great Depression,soul,fog,<location>,1,The Great Depression had entered our souls like fog.,"— Justice, Donald (1925-2004)",https://metaphors.iath.virginia.edu/metaphors/18026,metaphors of mind
168,warnings,mind,rats,<location>,1,"Deep in the night, those warnings scuttle around my mind like rats.","— Kennedy, Pagan (b. 1963)",https://metaphors.iath.virginia.edu/metaphors/24968,metaphors of mind
169,mind,<dangerous things>,rabbit,foxes,1,"The body [...] activates the senses, setting them to the frequencies at which the signals of new dangers can be received. Those signals appear as noise to the previous -- pre-war -- mind, as a breakdown in communication. The new mind, which the body floods with adrenaline, begins -- like a rabbit in a forest of foxes -- to decode all the signals, even if it's not capable of fitting them into any narrative.","Hemon, Aleksandr (b. 1964)",https://metaphors.iath.virginia.edu/metaphors/25010,metaphors of mind
170,thoughts,<mind>,six fireflies beeping randomly,jar,1,We've got this perverse situation in which the vast analytic powers of the entire world are being spent trying to understand a guy whose thoughts are often just six fireflies beeping randomly in a jar.,"Brooks, David (b. 1961)",https://metaphors.iath.virginia.edu/metaphors/25072,metaphors of mind
171,envy,psyche,lizard,<location>,1,"But if I can identify the lizard of envy crawling around in my psyche, I can usually tamp down the ire.","Marino, Gordon",https://metaphors.iath.virginia.edu/metaphors/25196,metaphors of mind
172,memory,<recollections>,jar,flies,1,"Memory, a jar of flies. Spin off the lid.","Seibles, Tim (b. 1955)",https://metaphors.iath.virginia.edu/metaphors/25149,metaphors of mind
173,skulls,ideas,odd museum,<items>,1,"Open our skulls, look in with a penlight, and you'll find an odd museum of ideas: sentences of history or mathematics remembered from school textbooks (no boy remembers his schooling like one who was taken out of school, let me assure you), sentences about politics read in a newspaper while wait...","Adiga, Aravind (b. 1974)",https://metaphors.iath.virginia.edu/metaphors/17196,metaphors of mind
174,heart,<emotions>,oyster,a spoil of perls,1,"Like an oyster
That cloisters a spoil of pearls, 
Untouched— 
The heart that’s had 
Enough
Stays shut.","Essbaum, Jill Alexander",https://metaphors.iath.virginia.edu/metaphors/17554,metaphors of mind
175,soul,<body>,worm,apple,1,"A soul was like a worm in an apple, my mother told me.","Offill, Jenny (b. 1968)",https://metaphors.iath.virginia.edu/metaphors/24728,metaphors of mind
176,<forgetting>,knowledge,leaking,<container>,2,"In the years that followed he set about replenishing his mind, but it was never quite the same. The sense of purpose was lacking--there was no great Reckoning against which he could hoard his knowledge, so that it tended to leak away as fast as he acquired it.","Lodge, David",http://metaphors.iath.virginia.edu/metaphors?f%5Bwork_literary_period%5D%5B%5D=Post-WWII&page=14&per_page=10&sort=date,metaphors of mind
177,mind,new theme,<woman>,<baby>,2,"The mind may be pregnant ""with some new theme""","— Cowper, William (1731-1800)",https://metaphors.iath.virginia.edu/metaphors/15017,metaphors of mind
178,mind,advice,<sea>,<boat>,2,"When the mind is in a calm, our advice may saile over it with ease; but in a raging tempest the best admonitions run upon a desperate rock.","— Tubbe, Henry (1618-1655)",https://metaphors.iath.virginia.edu/metaphors/9384,metaphors of mind
179,mind,<anger>,<location>,tempest,2,"He finds no Tempest in his Mind,  
Fears no Billow, feels no Wind: 
All is serene, and quiet there.","— Flatman, Thomas (1635-1688)",https://metaphors.iath.virginia.edu/metaphors/9843,metaphors of mind
180,memories,<mind subspace>,<objects><living things>,room,2,"For a long time I locked the memories away in a room in my mind. I would sometimes touch the door, to make sure it was secure.","— Armeni, Damon T.",https://metaphors.iath.virginia.edu/metaphors/23847,metaphors of mind
181,stomach,<disorder>,<location>,tempest,2,Oh what a Tempest have I in my Stomach?,,,metaphors of mind
182,brain,<constrained activity>,<animal>,cage,2,"why, why, why did I have to spend hours doing this? In the red glare of the digital clock, my brain rattled its cage. I prepared for a wave of lunacy.","Kennedy, Pagan (b. 1963)",https://metaphors.iath.virginia.edu/metaphors/24969,metaphors of mind
183,brain,sensation,<bird of prey>,<prey>,2,"But I didn't want to linger, nor could I perhaps, for the sensation lasted only a few moments, then my brain sank its claws into it and I went back to the kitchen where everything was as I had left it, except for the color of the drinks, which were shiny and full of small, grayish bubbles now.","Knausgaard, Karl Ove (b. 1968)",https://metaphors.iath.virginia.edu/metaphors/24786,metaphors of mind
184,swing of the pendulum,myth,bull,cobweb,0,"The swing of the pendulum has finally shattered the myth, like a bull through a cobweb.",Anon.,,other
185,wits,man,pins,hedgehog,0,"If wits were pins, the man would be a veritable hedgehog.","Fly by Night, Frances Hardinge",,other
186,you,I,thunder,lightning,0,You are the thunder and I am the lightning.,"Selena Gomez, Antonina Armato, Tim James, Devrim Karaoglu",https://prowritingaid.com/metaphor-examples,other
187,you,my life,sunshine,my life,0,You are the sunshine of my life.,Stevie Wonder,https://prowritingaid.com/metaphor-examples,other
188,justice,opportunity,bank,funds,0,But we refuse to believe that the bank of justice is bankrupt. We refuse to believe that there are insufficient funds in the great vaults of opportunity of this nation.,Dr. Martin Luther King Jr.,https://prowritingaid.com/metaphor-examples,other
189,monetarism,economics,christian science,medecine,0,Monetarism is to economics what christian science is to medicine.,,,other
190,I,shuttered room ,pumpkin,serra,0,In a shuttered room I roast Like a pumpkin in a serra,Dylan Thomas,,other
191,woman after twenty years of romance,woman after twenty years of marriage,ruin,public building,0,Twenty years of romance make a woman look like a ruin; but twenty years of marriage make her something like a public puilding.,Oscar Wilde,,other
192,marxist analysis,Stalin's Russia,Jesus Christ,Inquisition in Spain,0,The Marxist analysis has got nothing to do with what happened in Stalin's Russia; it's like blaming Jesus Chirs for the Inquisition in Spain.,Tony Benn,,other
193,sharp mind,illusion,bread knife,a hunk of frozen fish,0,"Her sharp mind, sawing raggedly through illusion like a bread knife through a hunk of frozen fish.",Fay Weldon,,other
194,great nations,small nations,gangsters,prostitutes,0,The great nations have always acted like gangsters and the small nations like prostitutes.,Stanley Kubrick,,other
195,woman,man,goldfish,motorbike,0,A woman needs a man like a goldfish needs a motorbike.,Anon.,,other
196,sun,<location>,todler,bed,1,The sun was a toddler insistently refusing to go to bed: It was past eight-thirty and still light.,John Green,,other
197,"religions, arts sciences",<knowledge>,branches,tree,1,"All religions, arts and sciences are branches of the same tree.",Albert Einstein,https://prowritingaid.com/metaphor-examples,other
198,photographer,<photos>,cod,eggs,1,"The photographer is like the cod, which produces a million eggs in order that one may reach maturity.",,,other
199,vice-presidency,<opportunity>,cookie,plate,1,"The vice-presidency is sort of like the last cookie on the plate. Everybody insists he won't take it, but somebody always does.",Bill Vanghan,,other
200,volume of verse,<public space>,a rose petal,the Grand Canyon,1,Publishing a volume of verse is like droping a rose petal down the Grand Canyon and waiting for the echo.,Don Marquis,,other
201,<man>/<head>,ears,taxicab,open doors,1,His ears make him look like a taxicab with both doors open.,Howard Hughes of Clark Gable,,other
202,<man>/<head>,ears,greek anphora,handles,1,His ears are like the handles of a Greek amphora.,P. G. Wodehouse,,other
203,monarchy,<revolution>,ship,rock,1,"Monarchy is like a splendid ship with all sails set; it moves majestically on, then it hits a rock and sink forever.",Fisher Ames,,other
